2019-11-27 14:20:07.239 [main] INFO  [s.d.s.w.r.o.CachingOperationNameGenerator:40] - startingWith() - Generating unique operation named: testUsingGET_1 
2019-11-27 14:20:07.277 [main] INFO  [c.h.c.h.HqMultiCustomerApplicationTests:61] - logStarted() - Started HqMultiCustomerApplicationTests in 9.939 seconds (JVM running for 11.12) 
2019-11-27 14:20:07.616 [SpringContextShutdownHook] INFO  [o.s.c.n.eureka.InstanceInfoFactory:72] - create() - Setting initial instance status as: STARTING 
2019-11-27 14:20:07.621 [SpringContextShutdownHook] INFO  [o.s.c.n.e.s.EurekaServiceRegistry:65] - deregister() - Unregistering application HQ-MULTI-CUSTOMER with eureka with status DOWN 
2019-11-27 14:20:07.624 [SpringContextShutdownHook] INFO  [o.s.s.c.ThreadPoolTaskExecutor:208] - shutdown() - Shutting down ExecutorService 'applicationTaskExecutor' 
2019-11-27 14:24:08.432 [main] INFO  [o.s.b.t.c.SpringBootTestContextBootstrapper:308] - buildDefaultMergedContextConfiguration() - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hq.customer.hqmulticustomer.HqMultiCustomerApplicationTests], using SpringBootContextLoader 
2019-11-27 14:24:08.438 [main] INFO  [o.s.t.c.s.AbstractContextLoader:264] - generateDefaultLocations() - Could not detect default resource locations for test class [com.hq.customer.hqmulticustomer.HqMultiCustomerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
2019-11-27 14:24:08.439 [main] INFO  [o.s.t.c.s.AnnotationConfigContextLoaderUtils:83] - detectDefaultConfigurationClasses() - Could not detect default configuration classes for test class [com.hq.customer.hqmulticustomer.HqMultiCustomerApplicationTests]: HqMultiCustomerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
2019-11-27 14:24:08.548 [main] INFO  [o.s.b.t.c.SpringBootTestContextBootstrapper:235] - getOrFindConfigurationClasses() - Found @SpringBootConfiguration com.hq.customer.HqMultiCustomerApplication for test class com.hq.customer.hqmulticustomer.HqMultiCustomerApplicationTests 
2019-11-27 14:24:08.668 [main] INFO  [o.s.b.t.c.SpringBootTestContextBootstrapper:248] - getDefaultTestExecutionListenerClassNames() - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
2019-11-27 14:24:08.683 [main] INFO  [o.s.b.t.c.SpringBootTestContextBootstrapper:177] - getTestExecutionListeners() - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@50dfbc58, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4416d64f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6bf08014, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5e3d57c7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@732d0d24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1fb19a0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6ee4d9ab, org.springframework.test.context.event.EventPublishingTestExecutionListener@5a5338df, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@418c5a9c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@18e36d14, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5082d622, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@13d4992d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@302f7971] 
2019-11-27 14:24:09.584 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] - postProcessAfterInitialization() - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$352a477b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-11-27 14:24:09.883 [main] INFO  [o.s.c.c.c.ConfigServicePropertySourceLocator:241] - getRemoteEnvironment() - Fetching com.hq.multi.config from server at : http://localhost:8888
2019-11-27 14:24:10.978 [main] INFO  [o.s.c.c.c.ConfigServicePropertySourceLocator:265] - getRemoteEnvironment() - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available 
2019-11-27 14:24:10.979 [main] WARN  [o.s.c.c.c.ConfigServicePropertySourceLocator:151] - locate() - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/hq-multi-customer/default": Connection refused: connect; nested com.hq.multi.exception is java.net.ConnectException: Connection refused: connect
2019-11-27 14:24:10.993 [main] INFO  [c.h.c.h.HqMultiCustomerApplicationTests:651] - logStartupProfileInfo() - No active profile set, falling back to default profiles: default 
2019-11-27 14:24:12.231 [main] INFO  [o.s.d.r.c.RepositoryConfigurationDelegate:246] - multipleStoresDetected() - Multiple Spring Data modules found, entering strict repository configuration mode! 
2019-11-27 14:24:12.235 [main] INFO  [o.s.d.r.c.RepositoryConfigurationDelegate:126] - registerRepositoriesIn() - Bootstrapping Spring Data repositories in DEFAULT mode. 
2019-11-27 14:24:12.263 [main] INFO  [o.s.d.r.c.RepositoryConfigurationDelegate:184] - registerRepositoriesIn() - Finished Spring Data repository scanning in 11ms. Found 0 repository interfaces. 
2019-11-27 14:24:12.428 [main] WARN  [o.s.boot.actuate.endpoint.EndpointId:155] - logWarning() - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format. 
2019-11-27 14:24:12.460 [main] WARN  [o.s.boot.actuate.endpoint.EndpointId:155] - logWarning() - Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format. 
2019-11-27 14:24:12.691 [main] INFO  [o.s.cloud.context.scope.GenericScope:295] - setSerializationId() - BeanFactory id=d9cd040b-008c-37a6-b47e-e17ab73add42 
2019-11-27 14:24:13.426 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] - postProcessAfterInitialization() - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$352a477b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-11-27 14:24:13.918 [main] WARN  [c.n.c.sources.URLConfigurationSource:121] - <init>() - No URLs will be polled as dynamic configuration sources. 
2019-11-27 14:24:13.919 [main] INFO  [c.n.c.sources.URLConfigurationSource:122] - <init>() - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make com.hq.multi.config.properties available on classpath.
2019-11-27 14:24:13.943 [main] INFO  [c.n.com.hq.multi.config.DynamicPropertyFactory:281] - getInstance() - DynamicPropertyFactory is initialized with configuration sources: com.netflix.com.hq.multi.config.ConcurrentCompositeConfiguration@1c84d80a
2019-11-27 14:24:15.998 [main] INFO  [o.s.b.a.e.web.EndpointLinksResolver:58] - <init>() - Exposing 2 endpoint(s) beneath base path '/actuator' 
2019-11-27 14:24:16.284 [main] INFO  [s.d.s.w.PropertySourcedRequestMappingHandlerMapping:69] - initHandlerMethods() - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2019-11-27 14:24:16.552 [main] WARN  [c.n.c.sources.URLConfigurationSource:121] - <init>() - No URLs will be polled as dynamic configuration sources. 
2019-11-27 14:24:16.553 [main] INFO  [c.n.c.sources.URLConfigurationSource:122] - <init>() - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make com.hq.multi.config.properties available on classpath.
2019-11-27 14:24:16.942 [main] INFO  [o.s.s.c.ThreadPoolTaskExecutor:171] - initialize() - Initializing ExecutorService 'applicationTaskExecutor' 
2019-11-27 14:24:18.055 [main] WARN  [o.s.c.n.core.CoreAutoConfiguration:37] - <init>() - This module is deprecated. It will be removed in the next major release. Please use spring-cloud-netflix-hystrix instead. 
2019-11-27 14:24:18.114 [main] WARN  [o.s.c.s.e.EurekaStarterDeprecationWarningAutoConfiguration:19] - logWarning() - spring-cloud-starter-eureka is deprecated as of Spring Cloud Netflix 1.4.0, please migrate to spring-cloud-starter-netflix-eureka 
2019-11-27 14:24:18.163 [main] INFO  [s.d.s.w.p.DocumentationPluginsBootstrapper:151] - start() - Context refreshed 
2019-11-27 14:24:18.542 [main] INFO  [s.d.s.w.p.DocumentationPluginsBootstrapper:154] - start() - Found 1 custom documentation plugin(s) 
2019-11-27 14:24:18.594 [main] INFO  [s.d.s.w.s.ApiListingReferenceScanner:41] - scan() - Scanning for api listing references 
2019-11-27 14:24:18.764 [main] INFO  [s.d.s.w.r.o.CachingOperationNameGenerator:40] - startingWith() - Generating unique operation named: handleUsingGET_1 
2019-11-27 14:24:18.766 [main] INFO  [s.d.s.w.r.o.CachingOperationNameGenerator:40] - startingWith() - Generating unique operation named: handleUsingGET_2 
2019-11-27 14:24:18.768 [main] INFO  [s.d.s.w.r.o.CachingOperationNameGenerator:40] - startingWith() - Generating unique operation named: testUsingGET_1 
2019-11-27 14:24:18.812 [main] INFO  [c.h.c.h.HqMultiCustomerApplicationTests:61] - logStarted() - Started HqMultiCustomerApplicationTests in 10.087 seconds (JVM running for 11.237) 
2019-11-27 14:24:19.160 [SpringContextShutdownHook] INFO  [o.s.c.n.eureka.InstanceInfoFactory:72] - create() - Setting initial instance status as: STARTING 
2019-11-27 14:24:19.164 [SpringContextShutdownHook] INFO  [o.s.c.n.e.s.EurekaServiceRegistry:65] - deregister() - Unregistering application HQ-MULTI-CUSTOMER with eureka with status DOWN 
2019-11-27 14:24:19.169 [SpringContextShutdownHook] INFO  [o.s.s.c.ThreadPoolTaskExecutor:208] - shutdown() - Shutting down ExecutorService 'applicationTaskExecutor' 
